code,name,pct_collected_12m,road_cells,band_0-12,band_12-24,band_>24,band_never
E04003492,Abbotsbury,66.5,269,179,3,0,87
E04012320,Affpuddle and Turnerspuddle,25.0,340,85,0,0,255
E04003362,Alderholt,0.0,332,0,0,0,332
E04003494,Alton Pancras,50.9,53,27,0,0,26
E04010487,Anderson,0.0,49,0,0,0,49
E04012321,Arne,1.2,341,4,0,0,337
E04003391,Ashmore,1.0,97,1,0,0,96
E04003495,Askerswell,100.0,118,118,0,0,0
E04013368,Athelhampton and Puddletown,37.7,464,175,0,0,289
E04003497,Batcombe,0.0,81,0,0,0,81
E04003498,Beaminster,82.6,432,357,23,0,52
E04003499,Beer Hackett,0.0,54,0,0,0,54
E04012322,Bere Regis,0.0,504,0,0,0,504
E04003500,Bettiscombe,100.0,53,53,0,0,0
E04013369,Bincombe,91.7,120,110,0,0,10
E04003502,Bishop's Caundle,14.3,91,13,0,0,78
E04010488,Blandford Forum,56.2,210,118,92,0,0
E04010489,Blandford St. Mary,48.3,176,85,0,36,55
E04003467,Bloxworth,0.0,157,0,0,0,157
E04003394,Bourton,17.9,134,24,0,81,29
E04003504,Bradford Abbas,0.0,118,0,0,0,118
E04003505,Bradford Peverell,83.0,182,151,0,0,31
E04013370,Bridport,99.8,459,458,0,0,1
E04013371,Broadmayne,80.9,110,89,0,0,21
E04003509,Broadwindsor,95.0,543,516,4,0,23
E04010490,Bryanston,14.2,204,29,38,58,79
E04003396,Buckhorn Weston,65.2,164,107,0,9,48
E04003510,Buckland Newton,72.9,303,221,11,0,71
E04013372,Burleston and Tolpuddle,0.0,139,0,0,0,139
E04003512,Burstock,100.0,81,81,0,0,0
E04013373,Burton Bradstock,79.6,201,160,25,0,16
E04003397,Cann,93.7,222,208,0,0,14
E04003514,Castleton,0.0,328,0,0,0,328
E04003515,Catherston Leweston,100.0,24,24,0,0,0
E04003516,Cattistock,72.9,177,129,0,0,48
E04003517,Caundle Marsh,0.0,74,0,0,0,74
E04003518,Cerne Abbas,81.3,166,135,0,0,31
E04012817,Chalbury,0.0,68,0,0,0,68
E04003468,Chaldon Herring,95.2,104,99,0,0,5
E04003398,Charlton Marshall,39.6,134,53,0,57,24
E04003519,Charminster,98.9,276,273,0,0,3
E04003520,Charmouth,100.0,83,83,0,0,0
E04003521,Chedington,0.0,63,0,0,0,63
E04003522,Cheselbourne,0.0,170,0,0,0,170
E04003523,Chetnole,98.0,51,50,0,0,1
E04003399,Chettle,0.0,49,0,0,0,49
E04003524,Chickerell,99.1,348,345,0,0,3
E04013374,Chideock,88.2,153,135,0,0,18
E04003526,Chilcombe,100.0,25,25,0,0,0
E04010491,Child Okeford,94.5,110,104,0,0,6
E04003527,Chilfrome,66.1,62,41,0,0,21
E04003469,Church Knowle,0.0,186,0,0,0,186
E04003528,Clifton Maybank,0.0,52,0,0,0,52
E04013375,Colehill,0.0,288,0,0,0,288
E04003401,Compton Abbas,91.1,101,92,0,0,9
E04003529,Compton Valence,0.0,84,0,0,0,84
E04003470,Coombe Keynes,14.5,83,12,0,0,71
E04012323,Corfe Castle,0.0,609,0,0,0,609
E04003365,Corfe Mullen,0.0,427,0,0,0,427
E04003530,Corscombe,13.6,345,47,0,0,298
E04003366,Cranborne,0.0,305,0,0,0,305
E04012453,Crichel,0.0,224,0,0,0,224
E04003531,Crossways,100.0,181,181,0,0,0
