code,name,pct_collected_12m,road_cells,band_0-12,band_12-24,band_>24,band_never
E05012682,Beacon,73.3,1858,1362,27,199,270
E05012683,Beaminster,66.3,716,475,23,0,218
E05012684,Blackmore Vale,35.2,1379,486,418,0,475
E05012685,Blandford,56.2,210,118,92,0,0
E05015779,Bridport,95.5,783,748,0,0,35
E05012687,Chalk Valleys,27.4,1909,523,11,0,1375
E05012688,Charminster St Mary's,85.6,997,853,2,0,142
E05015780,Chesil Bank,54.1,1709,925,359,0,425
E05012690,Chickerell,99.0,403,399,0,0,4
E05012691,Colehill & Wimborne Minster East,0.0,410,0,0,0,410
E05012692,Corfe Mullen,0.0,427,0,0,0,427
E05012693,Cranborne & Alderholt,0.0,1259,0,0,0,1259
E05012694,Cranborne Chase,19.5,1777,346,0,62,1369
E05012695,Crossways,88.9,647,575,0,1,71
E05012696,Dorchester East,100.0,166,166,0,0,0
E05012697,Dorchester Poundbury,100.0,102,102,0,0,0
E05012698,Dorchester West,100.0,161,161,0,0,0
E05015781,Eggardon,64.8,2513,1628,191,0,694
E05012700,Ferndown North,0.0,439,0,0,0,439
E05012701,Ferndown South,0.0,294,0,0,0,294
E05012702,Gillingham,68.1,1955,1332,18,398,207
E05012703,Hill Forts & Upper Tarrants,35.0,1326,464,42,86,734
E05012704,Littlemoor & Preston,99.7,288,287,0,0,1
E05012705,Lyme & Charmouth,97.7,263,257,0,0,6
E05012706,Lytchett Matravers & Upton,0.0,1063,0,0,0,1063
E05015782,Marshwood Vale,84.8,2456,2082,196,0,178
E05012708,Melcombe Regis,100.0,61,61,0,0,0
E05012709,Portland,3.4,439,15,0,0,424
E05012710,Puddletown & Lower Winterborne,11.5,1520,175,0,0,1345
E05012711,Radipole,100.0,221,221,0,0,0
E05012712,Rodwell & Wyke,98.3,230,226,0,0,4
E05012714,Shaftesbury Town,99.2,241,239,0,0,2
E05012715,Sherborne East,0.0,151,0,0,0,151
E05012716,Sherborne Rural,12.2,2012,246,14,0,1752
E05012717,Sherborne West,0.0,149,0,0,0,149
E05012718,South East Purbeck,9.2,2180,201,0,0,1979
E05012713,St Leonards & St Ives,0.0,929,0,0,0,929
E05012719,Stalbridge & Marnhull,42.4,931,395,1,3,532
E05012720,Stour & Allen Vale,0.8,1820,15,0,44,1761
E05012721,Sturminster Newton,88.3,437,386,16,0,35
E05012722,Swanage,0.0,363,0,0,0,363
E05012723,Upwey & Broadwey,100.0,214,214,0,0,0
E05012724,Verwood,0.0,437,0,0,0,437
E05012725,Wareham,0.3,1146,4,0,0,1142
E05012726,West Moors & Three Legged Cross,0.0,519,0,0,0,519
E05012727,West Parley,0.0,189,0,0,0,189
E05012728,West Purbeck,41.9,2320,971,0,0,1349
E05012729,Westham,100.0,143,143,0,0,0
E05012730,Wimborne Minster,0.0,171,0,0,0,171
E05012731,Winterborne & Broadmayne,81.6,1328,1084,0,5,239
E05012732,Winterborne North,17.1,824,141,0,186,497
E05012733,Yetminster,23.1,1965,453,0,0,1512
